"code","description","comment"
"43.21.10","Работы электромонтажные","Эта группировка включает:- работы по монтажу основных сетей электроосвещения и электроснабжения или электроарматуры, требующие специальной квалификации, в зданиях, сооружениях и прочих строительных объектах;- электромонтажные работы, связанные с установкой приборов;- работы по монтажу сетей электроосвещения и электроснабжения и электроарматуры для систем аварийного электроснабжения;- работы по монтажу систем пожарной сигнализации и охранной сигнализации на строительной площадке;- работы по монтажу антенн всех типов, включая спутниковые антенны, в жилых зданиях, работы по монтажу проводных и кабельных сетей кабельного телевидения в здании;- электромонтажные работы по прокладке телекоммуникационной проводки;- электромонтажные работы по монтажу прочего электрического оборудования, включая электрические солнечные коллекторы и плинтусные обогреватели, зданий и сооружений;- работы по установке приборов учета расхода электроэнергии;- работы по монтажу систем освещения и сигнализации автомобильных дорог, аэропортов и портовЭта группировка не включает:- работы по монтажу электродвигателей, генераторов и трансформаторов на электростанциях, см. 33.20.50;- работы по монтажу систем управления и безопасности движения на железных дорогах, см. 42.12.20;- работы по монтажу спринклерных систем, см. 43.22.11;- работы по монтажу отопительного оборудования, см. 43.22.12;- работы по противопожарной защите, см. 43.29.11"
"43.21.10.110","Работы по монтажу основных сетей электроосвещения и электроснабжения или электроарматуры, требующие специальной квалификации, в зданиях, сооружениях и на прочих строительных объектах",NA
"43.21.10.120","Работы электромонтажные, связанные с установкой приборов",NA
"43.21.10.130","Работы по монтажу сетей электроосвещения и электроснабжения и электроарматуры для систем аварийного электроснабжения",NA
"43.21.10.140","Работы по монтажу систем пожарной сигнализации и охранной сигнализации",NA
"43.21.10.150","Работы по монтажу антенн всех типов, включая спутниковые антенны, в жилых зданиях",NA
"43.21.10.160","Работы по монтажу проводных и кабельных сетей кабельного телевидения в здании",NA
"43.21.10.170","Работы электромонтажные по прокладке телекоммуникационной проводки",NA
"43.21.10.180","Работы электромонтажные по монтажу прочего электрического оборудования, включая электрические солнечные коллекторы и плинтусные обогреватели, в зданиях и сооружениях",NA
"43.21.10.210","Работы по установке приборов учета расхода электроэнергии",NA
"43.21.10.220","Работы по монтажу систем освещения и сигнализации автомобильных дорог, аэропортов и портов",NA
"43.21.10.290","Работы электромонтажные прочие, не включенные в другие группировки",NA
"43.22","Работы по монтажу систем водопровода, канализации, отопления и кондиционирования воздуха",NA
"43.22.1","Работы по монтажу систем водопровода, канализации, отопления, вентиляции и кондиционирования воздуха",NA
"43.22.11","Работы по монтажу водопроводных и канализационных систем","Эта группировка включает:- работы по монтажу основных сетей горячего и холодного водоснабжения (т. е. водопроводных);- работы по монтажу спринклерных систем;- работы по монтажу санитарно-технических приборов;- работы по монтажу санитарно-технических приборов и взаимосвязанные водопроводные работы;- работы по монтажу систем напорных водопроводов для пожаротушения (включая пожарные гидранты с пожарными рукавами и выходными патрубками);- работы по монтажу канализационных системЭта группировка не включает:- работы по монтажу отопительного оборудования в помещениях, включая монтаж соединительных трубопроводов, см. 43.22.12"
"43.22.11.110","Работы по монтажу основных сетей горячего и холодного водоснабжения (т. е. водопроводных), работы по монтажу спринклерных систем",NA
"43.22.11.120","Работы по монтажу санитарно-технических приборов",NA
"43.22.11.130","Работы водопроводные взаимосвязанные",NA
"43.22.11.140","Работы по монтажу систем напорных водопроводов для пожаротушения (включая пожарные гидранты с пожарными рукавами и выходными патрубками)",NA
